"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"ESR1","ESR1",14,0.677214177102717,369,"0.5297736002166",1
"LRRC4B","LRRC4B",20,0.677612638812699,363,"0.961835849035229",1
"SOCS5","SOCS5",10,0.677651765953135,373,"0.692861465043783",1
"GPR148","GPR148",10,0.677956251777227,373,"0.326509390361581",1
"STAT4","STAT4",14,0.67827302885316,369,"0.767567409649312",1
"TIMM50","TIMM50",6,0.678386567662203,377,"0.63596200192162",1
"TTC3","TTC3",18,0.678921594829145,365,"0.805909035379779",1
"CDH2","CDH2",29,0.679302151038288,354,"0.819996009832913",1
"STX7","STX7",2,0.679585675497076,381,"0.0975214559908724",1
"SGCA","SGCA",7,0.679738815133557,376,"0.141831580966543",1
"FOXF2","FOXF2",6,0.679748731398173,377,"0.403834321106054",1
"LRP5L","LRP5L",11,0.680112634751529,372,"0.228775492698",1
"ALOX15B","ALOX15B",10,0.6806307132591,373,"0.849335042964799",1
"RIOK3","RIOK3",9,0.680980190073778,374,"0.39875415642772",1
"PRRG4","PRRG4",3,0.681212443626639,380,"0.589829100847567",1
"HTR1A","HTR1A",11,0.681242015554278,372,"0.544540076523958",1
"VSTM2B","VSTM2B",10,0.68141916151375,373,"0.169866165560954",1
"CLEC5A","CLEC5A",10,0.681449470568087,373,"0.765274500451264",1
"HCN2","HCN2",10,0.681540390663907,373,"0.399104180726214",1
"UNC119B","UNC119B",5,0.681611747093927,378,"0.779502341576234",1
"DCAF5","DCAF5",7,0.681794691415104,376,"0.505054831623684",1
"HTR1D","HTR1D",6,0.681845841032596,377,"0.0558872882580354",1
"EGLN1","EGLN1",3,0.682021969632713,380,"0.169714340351975",1
"KCNV2","KCNV2",18,0.682150462871693,365,"0.742862592702072",1
"MET","MET",21,0.68217508463854,362,"0.399544241145739",1
"SIK2","SIK2",13,0.682392618598665,370,"0.672505185144991",1
"NFIX","NFIX",7,0.682586760061768,376,"0.818861792709405",1
"IQGAP2","IQGAP2",21,0.68261899525706,362,"0.726663067630976",1
"ADM2","ADM2",1,0.682930646779724,382,"0.354032205773147",1
"FGD5","FGD5",36,0.683073022227788,347,"0.664231536720308",1
"WT1","WT1",7,0.683342079720884,376,"0.196790249622337",1
"ADRA1D","ADRA1D",15,0.683483515906394,368,"0.448983323690011",1
"CSK","CSK",8,0.683503234975337,375,"0.24935351723044",1
"IL17REL","IL17REL",1,0.683950414536215,382,"0.395280787849602",1
"DET1","DET1",8,0.68404214651096,375,"0.372574452595928",1
"DUSP11","DUSP11",5,0.68410650343647,378,"0.673269782636904",1
"SLC6A14","SLC6A14",10,0.684138760469878,373,"0.764368708471655",1
"MAGEA10","MAGEA10",6,0.684208148077799,377,"0.13670077374823",1
"ABCC6","ABCC6",25,0.684578073063411,358,"0.0702173755962447",1
"DHX40","DHX40",8,0.684883442246374,375,"0.32549822547112",1
"ETV5","ETV5",14,0.684903290574167,369,"0.37702514633967",1
"RFC4","RFC4",5,0.684992582437459,378,"0.999783704246761",1
"BAP1","BAP1",9,0.685214516707324,374,"0.723295071030059",1
"HPCAL4","HPCAL4",2,0.685399051424799,381,"0.956112631001798",1
"STAT1","STAT1",6,0.685405937250057,377,"0.247265589724175",1
"ACLY","ACLY",17,0.685472977217851,366,"0.982539064013764",1
"ARL15","ARL15",6,0.685560356036525,377,"0.406239692281742",1
"C2orf44","C2orf44",13,0.68571337717679,370,"0.947114195002424",1
"DCLRE1C","DCLRE1C",12,0.685957500030305,371,"0.339707089855577",1
"SERPINF1","SERPINF1",8,0.686261169482733,375,"0.670795893971043",1
"PIP5K1B","PIP5K1B",15,0.686377293738431,368,"0.175478061750806",1
"TFAP2D","TFAP2D",20,0.686638179323926,363,"0.531662839069291",1
"TNFRSF21","TNFRSF21",7,0.686678242909181,376,"0.308642116873066",1
"GATA5","GATA5",9,0.687180440126979,374,"0.436656489851093",1
"MMP27","MMP27",12,0.687224203676764,371,"0.168050949585177",1
"SELL","SELL",7,0.687429562722756,376,"0.0893216005777109",1
"BTNL9","BTNL9",13,0.687645952201648,370,"0.9959511108582",1
"RBBP8","RBBP8",12,0.687691789322772,371,"0.734114788267102",1
"SPAG16","SPAG16",13,0.687725265792856,370,"0.126355187388415",1
"CHUK","CHUK",13,0.687804570886584,370,"0.237137913394752",1
"MUTYH","MUTYH",13,0.688095283481173,370,"0.951747194229044",1
"COLEC10","COLEC10",6,0.688296135864633,377,"0.5342171178465",1
"KCNJ4","KCNJ4",9,0.688319591330009,374,"0.199892016861863",1
"HPD","HPD",4,0.688606777208938,379,"0.900234139403624",1
"ZBTB49","ZBTB49",13,0.688861158691766,370,"0.677490451970012",1
