CELLLINE,PRIMARY_SITE,PATHOLOGIST_ANNOTATION,in CCLE,Source,RRID
sknfi,autonomic_ganglia,PNET:Neuroblastoma,Y,,
sknmc,bone,Bone:Sarcoma_Ewing,Y,,
sknsh,autonomic_ganglia,PNET:Neuroblastoma,Y,,
snb19,central_nervous_system,CNS:Glioma_HighGrade,Y,,
sngm,endometrium,Endometrium:Carcinoma,Y,,
snu1,stomach,Gastric:Carcinoma,Y,,
snu1079,biliary_tract,Biliary_Tract:Carcinoma,Y,,
snu1105,central_nervous_system,CNS:Glioma_HighGrade,Y,,
snu349,kidney,Kidney:Carcinoma,Y,,
snu407,large_intestine,Colorectal:Carcinoma,Y,,
snu410,pancreas,Pancreas:Carcinoma,Y,,
snu423,liver,Liver:HCC,Y,,
snu449,liver,Liver:HCC,Y,,
snu61,large_intestine,Colorectal:Carcinoma,Y,,
snu685,endometrium,Endometrium:Others,Y,,
snu719,stomach,Gastric:Carcinoma,Y,,
snu738,central_nervous_system,CNS:Glioma,Y,,
snu761,liver,Liver:HCC,Y,,
snu81,large_intestine,Colorectal:Carcinoma,Y,,
snu886,liver,Liver:HCC,Y,,
snuc2a,large_intestine,Colorectal:Carcinoma,Y,,
snuc4,large_intestine,Colorectal:Carcinoma,Y,,
sq1,lung,Lung:NSCLC_Squamous,Y,,
ss1a,soft_tissue,Soft_Tissue:Sarcoma_Synovial,N,University of Utah - Kevin Jones,
su8686,pancreas,Pancreas:Carcinoma,Y,,
sudhl4,haematopoietic_and_lymphoid_tissue,Lymphoma:NH_B_cell,Y,,
sudhl6,haematopoietic_and_lymphoid_tissue,Lymphoma:NH_B_cell,Y,,
suit2,pancreas,Pancreas:Carcinoma,Y,,
sum52pe,breast,Breast:Carcinoma,N,Asterand Bioscience,CVCL_3425
sw1088,central_nervous_system,CNS:Glioma,Y,,
sw1271,lung,Lung:SCLC,Y,,
sw1353,bone,Bone:Sarcoma_Chondro,Y,,
sw1417,large_intestine,Colorectal:Carcinoma,Y,,
sw1463,large_intestine,Colorectal:Carcinoma,Y,,
sw1573,lung,Lung:NSCLC_Squamous,Y,,
sw1783,central_nervous_system,CNS:Glioma_HighGrade,Y,,
sw1990,pancreas,Pancreas:Carcinoma,Y,,
sw403,large_intestine,Colorectal:Carcinoma,Y,,
sw48,large_intestine,Colorectal:Carcinoma,Y,,
sw480,large_intestine,Colorectal:Carcinoma,Y,,
sw579,thyroid,Thyroid:Carcinoma,Y,,
sw620,large_intestine,Colorectal:Carcinoma,Y,,
sw780,urinary_tract,Bladder:Carcinoma,Y,,
sw948,large_intestine,Colorectal:Carcinoma,Y,,
syo1,soft_tissue,Soft_Tissue:Sarcoma_Synovial,N,University of Utah - Kevin Jones,CVCL_7146
t24,urinary_tract,Bladder:Carcinoma,Y,,
t47d,breast,Breast:Carcinoma,Y,,
tc71,bone,Bone:Sarcoma_Ewing,Y,,
tccpan2,pancreas,Pancreas:Carcinoma,Y,,
tccsup,urinary_tract,Bladder:Carcinoma,Y,,
te1,oesophagus,Oesophagus:Carcinoma,Y,,
te10,oesophagus,Oesophagus:Carcinoma,Y,,
te11,oesophagus,Oesophagus:Carcinoma,Y,,
te14,oesophagus,Oesophagus:Carcinoma,Y,,
te4,oesophagus,Oesophagus:Carcinoma,Y,,
te6,oesophagus,Oesophagus:Carcinoma,Y,,
te9,oesophagus,Oesophagus:Carcinoma,Y,,
ten,endometrium,Endometrium:Carcinoma,Y,,
thp1,haematopoietic_and_lymphoid_tissue,Leukemia:AML,Y,,
tuhr4tkb,kidney,Kidney:Carcinoma,Y,,
tyknu,ovary,Ovary:Carcinoma,Y,,
u118mg,central_nervous_system,CNS:Glioma,Y,,
u251mg,central_nervous_system,CNS:Glioma,Y,,
u2os,bone,Bone:Sarcoma_Osteo,Y,,
u87mg,central_nervous_system,CNS:Glioma,Y,,
uacc257,skin,Skin:Melanoma,Y,,
uacc62,skin,Skin:Melanoma,Y,,
ublc1,urinary_tract,Bladder:Carcinoma,Y,,
umuc3,urinary_tract,Bladder:Carcinoma,Y,,
vmrcrcw,kidney,Kidney:Carcinoma,Y,,
wm115,skin,Skin:Melanoma,Y,,
wm1799,skin,Skin:Melanoma,Y,,
wm2664,skin,Skin:Melanoma,Y,,
wm793,skin,Skin:Melanoma,Y,,
wm88,skin,Skin:Melanoma,Y,,
wsudlcl2,haematopoietic_and_lymphoid_tissue,Lymphoma:NH_B_cell,Y,,
yd38,upper_aerodigestive_tract,Upper_Aerodigestive_Tract:Carcinoma,Y,,
ymb1,breast,Breast:Carcinoma,Y,,
